Nama Franchise,Modal Minimal,Kategori Franchise,Franchise Fee,Nama Perusahaan,Biaya Royalti,Berdiri Sejak,Biaya Advertising,Jumlah Gerai,Alamat,Contact Person,Nomor WA,Telepon,Fax,Email,Website
Rumah Sunat dr Mahdian,Rp 60.000.000,Kesehatan & Kecantikan,Rp 60 000 000 s/d Rp 550 000 000,PT. RUMAH SUNATAN INDONESIA ,10%,2006.0,3%,49.0,Jl Raya Jatiasih No 7 Jatiasih Bekasi jawa Barat ,Rumah Sunat dr Mahdian ,+6281288888042  (Klik nomor untuk chat via WA),RUMAH SUNAT DR MAHDIAN  Call Center : 021-8242-0020  FORM APLIKASI FRANCHISE RUMAH SUNAT DR MAHDIAN : https://forms.gle/ANaLNNkYzj6o9D7w5 , ,kemitraan.manager@rumahsunatdrmahdian.com,Klik : http://rumahsunatan.com
Rumah Warna,Rp 17.000.000,Retail,-,Rumah Warna Corporation ,-,2002.0,-,58.0,"Jl. Ringroad Utara, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 ",Ika Pratiwi ,+6281327400077  (Klik nomor untuk chat via WA),Hp : 081327400077 Hp : 085261017022 , ,official.rumahwarna1@gmail.com,Klik : http://rumahwarna.co
Run n Run Signature,Rp 3.800.000,Makanan & Minuman,,PT Dunia Muda Sukses ,,2020.0,,905.0,"Jl. Adi Sucipto No.42, Puspan, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57174 ",Run & Run Signature ,+6281326278416  (Klik nomor untuk chat via WA),Marketing : 0813 2627 8416  IG : @runrun.indonesia , ,pemasaranptdhe@gmail.com,Klik : http://runrunsignature.com
SAHABAT GEMARIKAN.ID,Rp 10.000.000,Lainnya,0,PT. KEDAULATAN PANGAN NUSANTARA ,0,2020.0,0,49.0,"Jl. Puri Marina Raya no.5, Ancol, Pademangan, Jakarta Utara (14430) ",Calvin Febriyanto ,+628111496887  (Klik nomor untuk chat via WA),Marketing +6283174639455 , ,sahabatgemarikan.id@gmail.com,Klik : https://sahabatgemarikan.id
Salad dan Rujak Njerit,Rp 15.000.000,Makanan & Minuman,-,Salad dan Rujak Njerit ,-,2017.0,-,5.0,"Perum Gading Mas No 23. Desa mojorejo,kec.junrejo Batu,jawa timur ",Salad dan Rujak Njerit ,+6285706575973  (Klik nomor untuk chat via WA),0857 0657 5973  0812 4643 0752 ,- ,rujaknjerit@gmail.com,-
Sambal Khas Karmila,Rp 3.000.000.000,Makanan & Minuman,,CRP Group ,,2017.0,,120.0,"Jl. Dr. Susilo Raya No.338, RT.5/RW.5, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450 ",Sambal Karmila ,+6281222277800  (Klik nomor untuk chat via WA),081222277800 , ,kemitraan@citrarasaprima.com,Klik : https://www.sambalkarmila.com
Sambara Authentic Food,Rp 3.000.000.000,Makanan & Minuman,Rp 185.000.000,CV Sambara Boga ,6%,2006.0,-,9.0,JL. Sidomukti No 95  Bandung  Jawa Barat   ,resa ,+6281222413309  (Klik nomor untuk chat via WA),(022) 2045 6465  0812 2241 3309 , ,marketing@sajiansambara.com,Klik : http://www.sajiansambara.com
Same Story Coklat Signature,Rp 3.600.000,Makanan & Minuman,-,Doyan Group ,-,2019.0,-,1.0,Tandes Kidul I No.16 Surabaya 60187 Sawahan Surabaya ,Doyan Group ,+6281230959053  (Klik nomor untuk chat via WA),Hp: 081230959053 , ,waralaba@doyanayam.com,Klik : http://doyanayam.com/samestory
San Gyu,Rp (Please Call),Makanan & Minuman,,PT. Modular Kuliner ,,2019.0,,41.0,"Ruko Graha Arteri, Unit 36-37. Jalan Panjang no 36, Kedoya Selatan Kebon Jeruk, Jakarta Barat ",San Gyu ,+6281808455668  (Klik nomor untuk chat via WA),Marketing Franchise : - Martha : +62 812 6640 6532 - Marissa : +62 818 0845 5668 - Riza : +62 812 8519 1127 , ,partnership@ishangry.com,-
SAP Express Courier,Rp 3.500.000,Business Services,-,PT. Satria Antaran Prima Tbk ,-,2014.0,-,500.0,Jl Komodo Halim Perdana Kusuma No 28 Jakarta Timur DKI Jakarta 13610 ,Nanda ,+6287776153231  (Klik nomor untuk chat via WA),Hp : 0877 7615 3231  0811 1777 226  Tlp : 021-2280 6611   , ,cs.retail@sap-express.com,Klik : https://www.sap-express.id
"""Satelit"" Sate Telur Lilit",Rp 2.900.000,Makanan & Minuman,0,"""Satelit"" Sate Telur Lilit ",0,2019.0,0,6.0,"Jl. Melong Cijerah VI No. 5, Kota Bandung, Jawa Barat ","""Satelit"" Sate Telur Lilit ",+6288222886455  (Klik nomor untuk chat via WA),Hp : +6288222886455 , ,syaristudioofficial@gmail.com,Klik : https://sate-telur-lilit.berdu.pw/
Sate Taichan Nyot-Nyot,Rp 35.000.000,Makanan & Minuman,,PT. Citra Kreasi Muda ,,2017.0,,21.0,"Daan Mogot Raya no 45 A2, Jakarta 11460 ",Valco Helmy ,+6282211666665  (Klik nomor untuk chat via WA),082211666665 , ,valco_h2000@yahoo.com,Klik : http://www.taichannyot2.com
Satu Bua,Rp 40.000.000,Makanan & Minuman,-,Satu Bua ,-,2019.0,-,3.0,Jl. Watugede No.67 Sariharjo Ngaglik Sleman Yogyakarta ,Satu Bua ,+6285156585632  (Klik nomor untuk chat via WA),Hp : 085156585632 Marketing : 087781742506 , ,informasi.bua@gmail.com,-
Say Hello Signature Drink,Rp 3.900.000,Makanan & Minuman,-,Say Hello Signature Drink ,-,2020.0,-,450.0,"Jl. Adi Sucipto No.42, Puspan, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57174 ",Say Hello Signature Drink ,+6281226331601  (Klik nomor untuk chat via WA),Hp : 081226331601 , ,pemasaranptb@gmail.com,Klik : https://www.sayhellodrinks.com
Say Story,Rp 12.000.000,Makanan & Minuman,-,Say Story ,-,2018.0,-,300.0,Jl. Kabut no. 94 Panggungrejo Jebres Surakarta ( Belakang Kampus UNS ) ,Say Story ,+6281327393833  (Klik nomor untuk chat via WA),0813 2739 3833 , ,saystory.id@gmail.com,Klik : https://www.saystory.id/
Seblak Duarr,Rp 6.000.000,Makanan & Minuman,-,Seblak Duarr ,-,2019.0,-,24.0,"Larissa Residence Blok A no 1, Jl Golf Raya, Cinambo, Kota Bandung ",Seblak Duarr ,+6282121260387  (Klik nomor untuk chat via WA),0821 2126 0387 , ,seblakduarr@gmail.com,Klik : https://www.seblakduarr.com
Sedotz,Rp 13.000.000,Makanan & Minuman,-,Sedotz ,-,2019.0,-,46.0,Jl Raya kalimulya Depok ,Sedotz ,+62811883940  (Klik nomor untuk chat via WA),HP : 0811 883 940 , ,info@sedotz.com,Klik : http://www.sedotz.com
Segaru,Rp 75.000.000,Makanan & Minuman,,PT. SEGARU GRUP INDONESIA ,,2020.0,,2.0,"JL. AMD , Sungai Ampal No 2 Kota Balikpapan , Kalimantan Timur   ",Segaru ,+6287819094077  (Klik nomor untuk chat via WA),Hp : +6287819094077 , ,Segaruindonesia@gmail.com,-
Sei Sapi Beta,Rp 20.000.000,Makanan & Minuman,-,Sei Sapi Beta ,-,2019.0,-,4.0,"Jl.pejuang jaya blok C no.684A, harapan indah, Bekasi, RT1/015 ",Sei Sapi Beta ,+6281213003443  (Klik nomor untuk chat via WA),Hp:0812 1300 3443 , ,seisapibeta@gmail.com,-
Sei Sapi Rote,Rp 20.000.000,Makanan & Minuman,-,PT Gas Terus Asia ,-,2019.0,-,13.0,"Jl Boulevard Barat Raya, Ruko Inkopal Blok A-11, Kelapa Gading, Jakarta Utara ",Sei Sapi Rote ,+6281289299324  (Klik nomor untuk chat via WA),Hp : 0812 8929 9324 , ,seisapirote@gmail.com,Klik : http://www.seisapibeta.com
Sekolah Bina Persada,Rp (Please Call),Jasa Pendidikan & Pelatihan,,Sekolah Bina Persada ,,2004.0,,1.0,"Jl. Setra Duta Cemara Raya Blok K, Setra Duta Residence Bandung, Jawa Barat, Indonesia ",Sekolah Bina Persada ,,(022) 202 1766 (022) 200 5828 , ,admin@sbpindo.org,Klik : http://www.sekolahbinapersada.com
SEKOLAH PENERBANGAN IEFA SEMARANG,Rp 80.000.000,Jasa Pendidikan & Pelatihan,Rp 98.000.000 - Rp 148.000.000,LPK IEFA SEMARANG ,,2008.0,,1.0,"Jl. Tlogo Ungu No. 84 Pondok Indah, Pedurungan,Semarang ",085725866077 ,+6285725866077  (Klik nomor untuk chat via WA),0857 2586 6077 , ,iefa_info@yahoo.com,Klik : http://iefasemarang.com
Seleraku,Rp 10.000.000,Makanan & Minuman,-,Kawan Kuliner Group ,-,2019.0,-,2.0,Jalan Mayor Salim Batu Bara No 2619 A Palembang ,Seleraku ,+6281219376661  (Klik nomor untuk chat via WA),Hp : 081219376661 , ,-,-
Sel Sel Cheese Tea,Rp 3.900.000,Makanan & Minuman,-,Sel Sel Cheese Tea ,-,2018.0,-,1415.0,"Jl. Adi Sucipto No.42, Puspan, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57174 ",Sel Sel Cheese Tea ,+6282324317674  (Klik nomor untuk chat via WA),Hp : 082324317674 , ,pemasaranptb2@gmail.com,Klik : https://www.selselcheesetea.com
Semanis Coklat,Rp 2.499.000,Makanan & Minuman,Rp 2.499.000,CV ESCORP MUDA BERKREASI ,Rp 5.599.000,2020.0,-,215.0,jalan gondang Barat 1 no 20A ,Semanis Coklat ,+6282110000620  (Klik nomor untuk chat via WA),Hp : 0821 3358 8885  Hp : 0821 1000 0620 (Marketing) , ,escorpindonesia56@gmail.com,-
Semesta Silky Drink,Rp 4.800.000,Makanan & Minuman,-, ,-,2020.0,-,10.0,"Jl. Hasanudin no 57, Surakarta ",Marketing Semesta Silky Drink ,+6287832853404  (Klik nomor untuk chat via WA),0878 3285 3404 , ,mommilkgroup@gmail.com,-
senada cokelat,Rp 2.379.000,Makanan & Minuman,,Wonderkid Group ,,2019.0,,47.0,jln parang canthel laweyan surakarta ,senada cokelat ,+6281213688482  (Klik nomor untuk chat via WA),0812 1368 8482 , ,senadacokelat@gmail.com,-
Sepisang,Rp 8.500.000,Makanan & Minuman,-,Sepisang Indonesia ,-,2020.0,-,2.0,"Jalan Merak RT 04 RW 22, Waringin Rejo, Cemani, Grogol, Sukoharjo, Jawa Tengah ",Sepisang ,+6282298344177  (Klik nomor untuk chat via WA),Hp : 082298344177 Marketing :082298344188 , ,sepisang.indonesia@outlook.com,Klik : http://sepisang.com
Seqata Coffee,Rp 7.500.000,Makanan & Minuman,-,Seqata Coffee Indonesia ,-,2019.0,-,1.0,"Gang Aster 3 RT.01/RW.12, Sanggrahan, Grogol, Sukoharjo  ",Seqata Coffee ,+6281215319006  (Klik nomor untuk chat via WA),Hp : 081215319006 , ,seqatacoffee@outlook.com,Klik : http://seqatacoffee.com
Serabi Solo D java,Rp 11.000.000,Makanan & Minuman,-,Serabi Solo D java ,-,2010.0,-,5.0,"Pesona Anggrek Harapan Blok E10 / 7, Harapan Jaya, BEKASI ",Serabi Solo D java ,+6281386250100  (Klik nomor untuk chat via WA),Hp : 081386250100 , ,info@serabienak.com,Klik : http://serabisolo.com/
SEREM,Rp 15.000.000,Makanan & Minuman,,SEREM(Selera rempah) ,,2015.0,,2.0,Jln.mt haryono no 54 Ungaran ,SEREM ,+6281227851663  (Klik nomor untuk chat via WA),0812 2785 1663 , ,Kurtriawan.03@gmail.com,-
Serious Cut Barbershop,Rp 60.000.000,Kesehatan & Kecantikan,7 % dari Profit,Serious Group ,0 %,2014.0,0 %,26.0,"Jl. Pejuang Jaya Blok C no.684A, harapan indah , Bekasi ",Serious Cut Barbershop ,+6282126265697  (Klik nomor untuk chat via WA),0812 1300 3443 ( kantor) , ,seriouscutbarber@gmail.com,-
Setopan Kopi,Rp 275.000.000,Makanan & Minuman,-,Setopan Kopi ,-,2018.0,-,1.0,Ruko Centre Point A/6 Malang Jawa Timur ,Setopan Kopi ,+6281210411985  (Klik nomor untuk chat via WA),Hp : 081210411985 , ,kopiselerakamu@gmail.com,-
Sger Drink,Rp (Please Call),Makanan & Minuman,-,Sger Drink ,-,2019.0,-,9.0,Jln. serdang baru 1 no. 38 Daerah Khusus Ibukota Jakarta 10650 ,Sger Drink ,+6281292928010  (Klik nomor untuk chat via WA),Hp : 0812 9292 8010 , ,sgerdrink@gmail.com,Klik : http://sgerdrinks.com/
Shabu Ghin,Rp (Please Call),Makanan & Minuman,, ,,,,,"Jalan Wolter Monginsidi No. 53, Jakarta Selatan ",Shabu Ghin ,+6285710023930  (Klik nomor untuk chat via WA),0882 2197 8912 , ,shabughin@email.com,-
Shake A Shake,Rp 250.000.000,Makanan & Minuman,-,PT. Sumber Kuliner Cipta Kreasindo ,-,2020.0,-,1.0,"Jl. Springs Boulevard, Ruko North Goldfinch Blok RNG.15, Cihuni, Kec. Pagedangan, Tangerang, Banten 15332 ",Shake A Shake ,+628889222355  (Klik nomor untuk chat via WA),Hp : 081280392849 Hp : 08889222355 , ,sales.skck@outlook.com,Klik : http://www.instagram.com/shakeashake.id/
Shaolin Taiwan Snacks,Rp 8.000.000,Makanan & Minuman,-,Shaolin Taiwan Snacks ,-,2017.0,-,7.0,Gading Riviera III PF28 no 11 kelapa gading jakut 14240 ,Shaolin Taiwan Snacks ,+628877777776  (Klik nomor untuk chat via WA),0887 7777 776 0821 1336 0000  , ,shaolinsnacksindo@gmail.com,-
Shida Indonesia,Rp 500.000.000,Makanan & Minuman,-,Shida Indonesia ,-,2013.0,-,3.0,"Bandengan Utara 14k, Jakarta Utara ",Shida Indonesia ,+6281284438985  (Klik nomor untuk chat via WA),Hp : 087881503118 , ,shidaindonesia@gmail.com,Klik : https://shida-indonesia.com
Shipper,Rp 5.000.000,Business Services,-,PT Shippindo Teknologi Logistik ,-,2016.0,-,17.0,"Plaza 89 Lt. 12, Jl. H. R. Rasuna Said No.6 RT.6/RW.7 Kuningan Karet Kuningan, Kota Jakarta Selatan Daerah Khusus Ibukota Jakarta 12940 ",Shipper ,+6281294413621  (Klik nomor untuk chat via WA),Hp : 0812 94413 621(Taufiqi Akmal) , ,taufiqi@shipper.id,Klik : https://shipper.id/
Shoecleanic,Rp 30.000.000,Laundry & Jasa Kebersihan,,CV. Surya Hadinata ,5%,2015.0,,5.0,ruko nilasari kragilan mojosongo boyolali ,Shoecleanic ,+6285742227374  (Klik nomor untuk chat via WA),0898 9767 670 0857 4222 7374 , ,shoecleanic@gmail.com,Klik : http://www.shoecleanic.com
Siam Original Thai Tea,Rp 15.000.000,Makanan & Minuman,-,CV.ANUGRAH ASIA ,-,2017.0,5 % dari franchise fee / tahun,32.0,Jalan Suka Bangun II Ruko Dewata No 1-2 Kel. Sukajaya Kec. Sukarame ,Siam Original Thai Tea ,+628117871133  (Klik nomor untuk chat via WA),Office : 0811 7871 133  Eva : 0821 8203 1829  Fanny : 0899 8264 653  Maya : 0896 1402 2841 ,- ,siamthaitea.id@gmail.com,-
Signarama,Rp 1.675.000.000,Business Services,669000000 35 tahun,PT. Priyamitra Satwika/UFG ,6%,1986.0,1%,1000.0,Kantor Pusat Jl. Raya Serpong Km.8 No.89 Pakulonan - Tangerang Utara 15325   Jl. Sultan Iskandar Muda 8G Kebayoran Lama-Jakarta 12240 ,Steven Kusnadi ,,021-5396 771 021-5396 772  02168118686  08561087878 ,0217258151 ,info.indonesia@signarama.com,Klik : http://signaramaindonesia.com/
Signature Window Film,Rp 15.500.000,Otomotif,-,MAKKO GROUP ,-,2013.0,-,25.0,Pergudangan Surya Kadu Jl. Raya Telesonik 10 Blok H No.9 Kel. Kadu Jaya Kec. Curug Kota Tangerang Banten 15810 ,Signature Absolute Window Film ,+6285217767696  (Klik nomor untuk chat via WA),Hp : 085217767696 Hp : 08128800090 , ,signature@mail.com,Klik : http://www.signature-windowfilm.com
Simhae,Rp 300.000.000,Makanan & Minuman,-,Simhae ,-,2019.0,-,20.0,Jakarta ,Simhae ,+6281319773653  (Klik nomor untuk chat via WA),Hp : 0813 1977 3653 , ,-,-
Si.Nasi,Rp 35.000.000,Makanan & Minuman,,Kawan Kuliner Group ,,,,10.0,Jalan Mayor Salim Batu Bara No 2619 A Palembang ,Si.Nasi ,+6281219376661  (Klik nomor untuk chat via WA),081219376661 , ,-,-
Siomay Hore,Rp 5.000.000,Makanan & Minuman,0,Siomay Hore Indonesia ,0,2007.0,0,9.0,"Jl. Al Hidayah No.44 Tanah Baru, Beji, Depok ",Siomay Hore ,+6285158017116  (Klik nomor untuk chat via WA),Hp : 085158017116 , ,Siomayhore@gmail.com,-
Skak Pentol by Bayu Skak,Rp 5.300.000,Makanan & Minuman,-,Skak Food ,-,2018.0,-,120.0,"Jalan Raya Tajem, Ruko Alam Persada 2 No.2 Tajem, Maguwoharjo, Sleman, Yogyakarta ",Skak Pentol ,+628112827165  (Klik nomor untuk chat via WA),0811 282 7165 (Tutut) 0811 282 8483 Tlp: (0274) 283 4650 , ,cs.skakfood@gmail.com,Klik : https://skakfood.com
SMILE ICE CREAM ROLL,Rp 8.000.000,Makanan & Minuman,,CV. ADHIWA INNOVATION ,,2008.0,,2.0,"JL. SOEKARNO HATTA, SANGGRAHAN RT 02 RW 12 BUMIREJO, MUNGKID, MAGELANG ",SMILE ICE CREAM ROLL ,+6281393526233  (Klik nomor untuk chat via WA),Kantor : (029) 3718 1777  Hp : 0813 9352 6233 , ,CSADHIWAINNOVATION@GMAIL.COM,-
Sobat Haus,Rp 7.000.000,Makanan & Minuman,,CV.Saudagar Langit ,,2019.0,,1.0,"jl.mangesti ,dusun 2, purbayan, kec.baki, kab.sukoharjo, jawa tengah 575560 ",Sobat Haus ,+6282134198296  (Klik nomor untuk chat via WA),0821 3419 8296 , ,sobathaus.official@gmail.com,-
soc.clean,Rp 25.000.000,Laundry & Jasa Kebersihan,5000000,soc.clean ,100.000,2015.0,100.000,30.0,"jalan temugiring no.45 pajang ,laweyan,solo ",081252059497 ,+6285736944167  (Klik nomor untuk chat via WA),0812 5205 9497 , ,socshoesclean@gmail.com,Klik : http://www.socclean.com
Socriz,Rp 3.900.000,Makanan & Minuman,-,Master Kuliner Indonesia ,-,2019.0,-,15.0,"Jl. Tarumanegara No 70 Rt 03/Rw 04 Kel. Cireundeu Kec. Ciputat Timur Kota Tangerang Selatan Banten, Jawa Barat ",Socriz ,+6282125255353  (Klik nomor untuk chat via WA),Hp : 0821 2525 5353 , ,-,Klik : https://socriz.com/
SOKLAT BANGET,Rp 7.000.000,Makanan & Minuman,, ,,2016.0,,53.0,"Jl. Matoa Raya No. 4 Karangasem, Surakarta 57145 ",Raka (marketing) ,+6281327597321  (Klik nomor untuk chat via WA),0813 2759 7321 , ,soklatbangeeet@gmail.com,-
SOLOPUCCINO COFFEE,Rp 89.000.000,Makanan & Minuman,25%,PT. JAVAPUCCINO IDN ,,2008.0,,649.0,Griya Kalisuren Asri D9/ 8 Bojong Gede Bogor ,WIWI WIHARTI ,+6281510773275  (Klik nomor untuk chat via WA),081510773275  081283923964 , ,solopuccinocoffee@yahoo.co.id,-
Sop Buah Es Krimku,Rp 7.500.000,Makanan & Minuman,Free,Fina Home Industri ,-,2014.0,Free,3.0,"Perumahan gading Mas no. 4, Junrejo, Kota Batu, Jawa Timur  ",Fina Home Industry ,+6285257971468  (Klik nomor untuk chat via WA),085257971468 (Fina) 085706575973 (Ana) ,- ,fik_ram_si@yahoo.com,Klik : http://finahomeindustry.com
Sop Duran Duren,Rp 6.900.000,Makanan & Minuman,free,Sop Duranduren Indonesia ,free,2014.0,free,95.0,Jl. Manunggal IX No.34A Rt.01/02 Kel. Balekambang Condet Kramat Jati jakarta Timur ,WAGENINGTIAS ,+6282113390248  (Klik nomor untuk chat via WA),(021) 2280 1045  0857 1011 2698 ,- ,Waralaba.sopduranduren@gmail.com,Klik : http://www.sopduranduren.net
Sosis Bakar Asmara,Rp 4.000.000,Makanan & Minuman,-,Sosis Bakar Asmara ,-,2014.0,-,5.0,perumahan pondok mutiara Sidoarjo ,Sosis Bakar Asmara ,,0812 3481 928 , ,sosisbakarasmara@gmail.com,Klik : http://sosisbakarasmara.com
Sosis Dinamit,Rp 10.000.000,Makanan & Minuman,,Mbah Kakoeng Prima Boga ,,2012.0,,20.0,"Jl. Wonosari km 7,3 mantup , Bantul, Yogyakarta ",Agung Trisnadi ,+6282222216471  (Klik nomor untuk chat via WA),0858 8562 9144 , ,sosisdinamit@yahoo.com,Klik : http://www.sosisdinamit.com
SOSIS NDOWER INDONESIA,Rp 4.000.000,Makanan & Minuman,GRATIS,PENTOL NDOWER GROUP ,GRATIS,2019.0,GRATIS,25.0,"Jl.Veteran Tipes, Barat Jembatan Tipes, Serengan, Solo, 57154 ",SOSIS NDOWER ,+6281936447740  (Klik nomor untuk chat via WA),0819-3644-7740 , ,Marketingsosisndower@gmail.com,Klik : http://instagram.com/sosisndower_indonesia
SOSU CHICKEN,Rp 6.900.000,Makanan & Minuman,-,PT MULTI KULINER NUSANTARA ,-,2019.0,-,3.0,JL PULAU UTAMA NO 34A KEL PADURENAN KEC MUSTIKAJAYA KOTA BEKASI ,SOSU CHICKEN ,+628983417188  (Klik nomor untuk chat via WA),GALANG : 0898 3417 188(marketing)   , ,SOSUCHICKIN@GMAIL.COM,-
So Sweet,Rp 7.700.000,Makanan & Minuman,,So Sweet Indonesia ,,2019.0,,5.0,"Jalan Merak RT 04 RW 22, Waringin Rejo, Cemani, Grogol, Sukoharjo, Jawa Tengah ",So Sweet ,+6282117579911  (Klik nomor untuk chat via WA),hp : 0821 1757 9911 , ,sosweetindonesia19@outlook.com,Klik : http://sosweetindonesia.com
Soto Kauman Express,Rp 40.000.000,Makanan & Minuman,0,CV. Usaha Berkah Sentosa ,"2,5%",2011.0,0,1.0,Jl.Raya Mochtar no.8 A Sawangan Depok ,Ubaidilah ,+628989966864  (Klik nomor untuk chat via WA),0898 9966 864 ,- ,bangubay@gmail.com,Klik : http://www.sotokaumanexpress.com
SOTO KUDUS PAK MINTO,Rp 11.000.000,Makanan & Minuman,-Rp. 0,CV. TAMBAH TUMBUH ,-Rp. O,2007.0,-Rp. O,40.0,JL. Taman Dhika Cinere Pondok Cabe udik Pamulang Tangerang Selatan ,Azam Rusdianto ,+628111680936  (Klik nomor untuk chat via WA),0811 1680 936 ,021- 7535361 ,azamrusdianto99@gmail.com,-
Soto Mat Tjangkir,Rp 45.000.000,Makanan & Minuman,-,Soto Mat Tjangkir ,-,2000.0,-,41.0,"Jl. Kyai Telingsing 14, Janggalan, Kota Kudus, Kabupaten Kudus, Jawa Tengah 59316 ",Soto Mat Tjangkir ,+628122931022  (Klik nomor untuk chat via WA),Hp/wa : 08122931022 , ,sotomattjangkir@gmail.com,Klik : http://www.sotomattjangkir.com
Sour Sally Mini,Rp 75.000.000,Makanan & Minuman,-,Sour Sally Group ,-,2008.0,-,50.0,"Jl. Warung Jati Barat Raya No. 75( Warung Buncit Raya ) Gedung peluasan Aldevco Lantai 2 Jakarta 12740, Indonesia ",Sour Sally Mini ,+6287885592238  (Klik nomor untuk chat via WA),Phone : (021)7918 6568  Phone : (021)7918 6569 , ,info@soursallymini.com,Klik : http://www.soursallymini.com
Stabab Stasiun Kebab,Rp 150.000.000,Makanan & Minuman,-,Stabab Stasiun Kebab ,-,2019.0,-,5.0,Jalan H.Rean RT02 / 03 Pamulang Tangerang Selatan ,Stabab Stasiun Kebab ,+628123119071  (Klik nomor untuk chat via WA),0813 8888 6163 0812 3119 071 , ,unix.ugpm@gmail.com,Klik : https://stabab.com
STARAPIZZA,Rp 6.000.000,Makanan & Minuman,,CV.Budiman Guna Utama ,,2009.0,,5.0,Jl. Menoreh Utara IX No 12 Sampangan - Semarang ,STARAPIZZA ,+62816657296  (Klik nomor untuk chat via WA),024 850 5172 WA : 081 665 7296 Telp : 081 665 7296 , ,Noormans1965@gmail.com,-
Starkult,Rp 9.900.000,Makanan & Minuman,"7,9 juta",PT. PLAZA KULINER INDONESIA ,GRATIS,2018.0,GRATIS,49.0,"Jl Pakel No 58 Sumber RT 004/ RW 009, Kecamatan Banjarsari Surakarta ",Starkult ,+628112953458  (Klik nomor untuk chat via WA),Telp Kantor : 02717461025 Marketing : 0811 2953 458 , ,plazakulinerofficial@gmail.com,-
Starmilk,Rp 5.000.000,Makanan & Minuman,,Starmilk Official ,,2019.0,,20.0,"Jl. Sansiviera No.15 Puntukrejo, Ngringo, Jaten, Karanganyar 57731 ",Starmilk ,+6281229750567  (Klik nomor untuk chat via WA),Hp : 0812 2975 0567 , ,starmilkpusat@gmail.com,Klik : https://linktr.ee/starmilk
Steak and Cheese,Rp 100.000.000,Makanan & Minuman,5 % dari omzet,Ideax Creative Culinary ,,2017.0,,6.0,"Jl. Jenderal Sudirman 100 , Solo , Jawa tengah ",Steak and Cheese ,+6281226677364  (Klik nomor untuk chat via WA),081226677364 , ,Steakandcheese888@gmail.com,-
Steak Industry,Rp 50.000.000,Makanan & Minuman,Rp 30.000.000,Steak Industry ,5%,2017.0,-,2.0,PHX Bintaro Jl Senayan Utama Blok HJ1 No 1 A RW 3 pd. Pucung kec pd Aren Kota Tangerang Selatan Banten ,Steak Industry ,+628871977526  (Klik nomor untuk chat via WA),Phone : 0812 1128 2697 , ,steakindustry@gmail.com,-
Steak On The Street,Rp 6.000.000,Makanan & Minuman,-,CV.Saudagar Langit ,-,2018.0,-,112.0,"Steak onthe street Cafe & Office Dusun II, Waru, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57557 ",Steak On The Street ,+6282114312826  (Klik nomor untuk chat via WA),Telp Kantor : 02717471366 Hp : +62 82114312826 , ,steakonthestreet@gmail.com,-
Steak On The Street Cafe,Rp 55.000.000,Makanan & Minuman,,CV.Saudagar Langit ,,2018.0,,1.0,"Dusun II, Waru, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57557 ",Steak On The Street Cafe ,+6282114312826  (Klik nomor untuk chat via WA),Telp Kantor : 02717471366 Hp : 0821 1431 2826 , ,steakonthestreet1@gmail.com,-
steaky steak,Rp 70.000.000,Makanan & Minuman,-,PT Fondasi Generasi Muda ,-,2021.0,-,1.0,jalan adi sucipto no 42 blululan colomadu karanganyar ,steaky steak ,+6285290689257  (Klik nomor untuk chat via WA),Luar pulau jawa : +62821 3732 1699  Pulau jawa : +62852 9068 9257 , ,fondasigenerasimuda@gmail.com,-
Steffie Colection,Rp 5.000.000,Retail,-,Stefie Colection ,-,2003.0,-,3.0,Jln Raya Sukowati 355 Sragen ,Steffie Colection ,+628122605346  (Klik nomor untuk chat via WA),Tlp : 0812 2605 , ,steffiecollection01@gmail.com,Klik : http://steffiecollection.com
Street Sushi,Rp (Please Call),Makanan & Minuman,-,Street Sushi ,-,2013.0,-,3.0,"Jl. Tanjung Duren Raya No. 362 Blok N,Tanjung Duren, Grogol Petamburan,Jakarta Barat ",Street Sushi ,+6282125951133  (Klik nomor untuk chat via WA),HP : 0821 2595 1133 , ,info@stretsushiindonesia.com,Klik : http://streetsushiindonesia.com
Sua Cloudffee,Rp 13.500.000,Makanan & Minuman,-,Sua Coffee ,-,2015.0,-,1.0,Jl. Watugede No.67 Sariharjo Ngaglik Sleman Yogyakarta No. Telp Kantor : 087781742506 ,Sua Cloudffee ,+6287781742506  (Klik nomor untuk chat via WA),Kantor : 087781742506 Hp : 087781742506 Marketing : 087781742506 , ,Franchise.sua@gmail.com,-
